r1,r2,t,sub,rs,condition
0.00534759358288778,0.00200534759358296,8,30,-0.00334224598930481,control
0.0120320855614974,0.967914438502674,9,30,0.955882352941176,reward
0.0086898395721926,0.486631016042781,10,30,0.477941176470588,transition
0.0655080213903744,0.957887700534759,11,30,0.892379679144385,reward
0.00534759358288772,0.994652406417112,12,30,0.989304812834225,reward
0.00200534759358296,0.0086898395721926,13,30,0.00668449197860964,control
0.0153743315508023,0.987967914438503,14,30,0.9725935828877,reward
0.00200534759358296,0.994652406417112,15,30,0.992647058823529,reward
0.0086898395721926,0.994652406417112,16,30,0.98596256684492,reward
0.0086898395721926,0.961229946524064,17,30,0.952540106951872,reward
0.0086898395721926,0.503342245989305,18,30,0.494652406417112,transition
0.00534759358288772,0.50668449197861,19,30,0.501336898395722,transition
0.00868983957219259,0.00200534759358296,20,30,-0.00668449197860962,control
0.272727272727273,0.232620320855615,1,31,-0.0401069518716577,reward
0.810828877005348,0.623663101604278,2,31,-0.187165775401069,reward
0.513368983957219,0.643716577540107,3,31,0.130347593582888,transition
0.0086898395721926,0.00534759358288772,4,31,-0.00334224598930488,control
0.00200534759358295,0.00534759358288772,5,31,0.00334224598930477,transition
0.00868983957219259,0.0120320855614974,6,31,0.00334224598930479,transition
0.00534759358288778,0.0220588235294118,7,31,0.0167112299465241,reward
0.0153743315508023,0.00868983957219259,8,31,-0.00668449197860967,reward
0.00200534759358295,0.018716577540107,9,31,0.0167112299465241,reward
0.0354278074866311,0.0120320855614974,10,31,-0.0233957219251337,control
0.00200534759358295,0.00868983957219259,11,31,0.00668449197860964,reward
0.0086898395721926,0.0120320855614974,12,31,0.0033422459893048,reward
0.0086898395721926,0.00534759358288772,13,31,-0.00334224598930488,control
0.0086898395721926,0.0120320855614974,14,31,0.0033422459893048,reward
0.0086898395721926,0.00200534759358295,15,31,-0.00668449197860965,transition
0.0153743315508023,0.0153743315508022,16,31,-4.33680868994202e-17,transition
0.0120320855614974,0.00534759358288778,17,31,-0.00668449197860962,transition
0.0086898395721926,0.0153743315508022,18,31,0.00668449197860961,transition
0.0153743315508022,0.018716577540107,19,31,0.00334224598930481,transition
0.0254010695187167,0.00200534759358296,20,31,-0.0233957219251337,control
0.0320855614973262,0.0220588235294118,1,32,-0.0100267379679144,transition
0.00868983957219259,0.0254010695187167,2,32,0.0167112299465241,reward
0.0220588235294118,0.108957219251337,3,32,0.0868983957219251,transition
0.00868983957219259,0.0889037433155081,4,32,0.0802139037433155,reward
0.00200534759358295,0.0153743315508022,5,32,0.0133689839572193,transition
0.0120320855614974,0.0421122994652407,6,32,0.0300802139037433,control
0.018716577540107,0.0120320855614974,7,32,-0.00668449197860965,reward
0.0120320855614974,0.00534759358288778,8,32,-0.0066844919786096,control
0.00200534759358295,0.0387700534759359,9,32,0.0367647058823529,transition
0.00200534759358295,0.115641711229947,10,32,0.113636363636364,reward
0.0120320855614974,0.05548128342246,11,32,0.0434491978609626,reward
0.00534759358288778,0.205882352941177,12,32,0.200534759358289,reward
0.0086898395721926,0.981283422459893,13,32,0.9725935828877,transition
0.00200534759358296,0.0421122994652408,14,32,0.0401069518716578,control
0.0354278074866311,0.94451871657754,15,32,0.909090909090909,transition
0.0454545454545455,0.891042780748663,16,32,0.845588235294118,reward
0.00534759358288778,0.817513368983957,17,32,0.812165775401069,transition
0.0822192513368985,0.94451871657754,18,32,0.862299465240642,transition
0.00200534759358296,0.0354278074866311,19,32,0.0334224598930481,control
0.00534759358288772,0.794117647058823,20,32,0.788770053475936,reward
0.00534759358288778,0.0955882352941177,1,33,0.0902406417112299,reward
0.00534759358288778,0.269385026737968,2,33,0.26403743315508,control
0.0153743315508023,0.00534759358288772,3,33,-0.0100267379679145,reward
0.0086898395721926,0.00534759358288778,4,33,-0.00334224598930483,control
0.00868983957219259,0.00534759358288778,5,33,-0.00334224598930481,transition
0.00868983957219259,0.0153743315508023,6,33,0.00668449197860967,control
0.00868983957219259,0.00868983957219259,7,33,0.0,transition
0.00534759358288772,0.0086898395721926,8,33,0.00334224598930488,transition
0.0220588235294118,0.0120320855614974,9,33,-0.0100267379679144,transition
